Undertone,Shade Name,Shade Depth
12,NW5,8
4,NC10,8
1,NC5,8
15,NW10,8
4,NC12,3
4,N4,4
1,NC13,3
4,NW13,4
4,N4.5,4
1,NC15,4
4,N4.75,4
11,NC16,4
4,NC18,9
4,NW15,4
6,NC20,4
7,Neutal Olive,4
11,C4,4
5,NW18,4
4,N5,5
4,N6,5
4,N6.5,5
0,NW10,5
3,NC25,5
16,NW22,5
11,C3.5,5
4,NC27,5
1,NC30,5
15,NW25,5
11,C4.5,6
8,C45,6
4,NC37,6
10,NC35,6
9,NC38,6
1,C5,6
10,NC40,6
1,NC42,6
15,NW30,6
15,NW33,6
4,NW35,6
15,NW40,0
1,NC44,7
15,NW43,7
1,C8,7
4,NW44,7
15,NW45,7
1,NC45,1
4,NC45.5,1
4,NC46,1
1,NC47,2
1,NC50,2
2,C55,1
13,NW46,1
4,NW47,1
13,NW48,1
4,NW50,1
13,NW53,1
1,NC55,2
4,NC58,2
4,NC60,2
4,NW55,2
13,NW57,2
4,NW58,2
13,NW60,2
4,NC63,2
14,NC65,2
13,NW65,2
